pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,GroundTruth,Plate_TrainVal_Neural_Net,Plate_TrainVal_Net_optimized
-1.148025,164.5025719,392.54599,19200.0,0.0,-4.323005000000535,0.0,0.0,250.24974999993788,0.0,0.0,0.3129881999999996,-6.3911132,-0.4482424,-0.6393310999999999,0.0,0.0,0.0,0.0,0.0,0.3129881999999996,0.15317953899502754,0.26583154797554015
-1.148025,164.50001,392.54599,19200.0,0.0,-0.1280949999994618,0.0,0.0,209.74550000005365,0.0,0.0,0.3159180999999996,-4.812500099999999,-0.4453126,-0.6362547000000001,0.0,0.0,0.0,0.0,0.0,0.3159180999999996,0.1408257234841585,0.23038298338651658
-1.148025,164.50001,392.54599,19200.0,0.0,0.0,0.0,0.0,6.404749999973092,0.0,0.0,0.3212891999999995,-4.9492187,-0.4438477,-0.6398438,0.0,0.0,0.0,0.0,0.0,0.3212891999999995,0.18161243498325347,0.18597238957881929
-1.148025,164.50001,392.54599,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193360999999995,-4.8896485,-0.4438476999999999,-0.6393309,0.0,0.0,0.0,0.0,0.0,0.3193360999999995,0.18041737973690034,0.18477201797068118
-1.148025,164.50001,392.5407633,19200.0,0.0,0.0,-0.2613350000018499,0.0,0.0,-13.066750000092496,0.0,0.3212891999999996,-4.849121,-0.7861329,-0.6408691,0.0,0.0,0.0,0.0,0.0,0.3212891999999996,0.17894915044307708,0.18412377908825875
-1.148025,164.50001,392.3951567,19200.0,0.0,0.0,-7.280329999997548,0.0,0.0,-350.9497499997849,0.0,0.3242186999999996,-4.8461915,-5.1279296,-0.6362549000000001,0.0,0.0,0.0,0.0,0.0,0.3242186999999996,0.2043037846684456,0.2637320712208748
-1.148025,164.50001,391.7633423,19200.0,0.0,0.0,-31.59071999999981,0.0,0.0,-1215.5195000001129,0.0,0.3217774999999996,-4.8510741,-7.6079103,-0.6377927999999999,0.0,0.0,0.0,0.0,0.0,0.3217774999999996,0.3020897818729281,0.34137593805789945
-1.148025,164.50001,390.5408092,19200.0,0.0,0.0,-61.12665500000105,0.0,0.0,-1476.7967500000625,0.0,0.3212890999999996,-4.8540039,-4.5473635,-0.6393311,0.0,0.0,0.0,0.0,0.0,0.3212890999999996,0.3259788416326046,0.35379058569669725
-1.148025,164.50001,389.0577405,19200.0,0.0,0.0,-74.15343499999949,0.0,0.0,-651.338999999922,0.0,0.3183592999999995,-4.8813476,-1.5961914,-0.6290771,0.0,0.0,0.0,0.0,0.0,0.3183592999999995,0.21524907052516937,0.2867232233285904
-1.148025,164.50001,387.7112551,19200.0,0.0,0.0,-67.32427000000314,0.0,0.0,341.45824999981755,0.0,0.3203123999999996,-4.904297,2.6372069,-0.6398436000000001,0.0,0.0,0.0,0.0,0.0,0.3203123999999996,0.1412615016102791,0.22699624449014663
-1.148025,164.50001,386.8769659,19200.0,0.0,0.0,-41.71445999999719,0.0,0.0,1280.4905000002975,0.0,0.3291014999999996,-4.917480299999999,5.7158203,-0.6336914,0.0,0.0,0.0,0.0,0.0,0.3291014999999996,0.19989834427833558,0.27008760422468187
-1.148025,164.50001,386.59984040000006,19200.0,0.0,0.0,-13.856274999997709,0.0,0.0,1392.909249999974,0.0,0.3237304999999996,-4.9374998,2.1713866,-0.6357421999999999,0.0,0.0,0.0,0.0,0.0,0.3237304999999996,0.2156868577003479,0.2691795125603676
-1.148025,164.5080559,386.5498555,19200.0,0.0,0.402294999999242,-2.4992450000013378,0.0,20.1147499999621,567.8514999998185,0.0,0.3276365999999996,-5.5209961,0.5771484,-0.6336914,0.0,0.0,0.0,0.0,0.0,0.3276365999999996,0.21037610992789268,0.2536258399486542
-1.148025,164.5800741,386.54599,19200.0,0.0,3.6009100000001126,-0.1932750000008809,0.0,159.93075000004353,115.29850000002284,0.0,0.3364255999999996,-6.984375099999999,0.0434572,-0.6377927999999999,0.0,0.0,0.0,0.0,0.0,0.3364255999999996,0.1557307076640427,0.20341514348983764
-1.148025,164.75730099999998,386.54599,19200.0,0.0,8.861344999999687,0.0,0.0,263.02174999997874,9.663750000044049,0.0,0.3276365999999996,-5.8125,-0.296875,-0.6311279,0.0,0.0,0.0,0.0,0.0,0.3276365999999996,0.07350080013275147,0.07307819873094559
-1.148025,164.94930100000002,386.54599,19200.0,0.0,9.600000000001785,0.0,0.0,36.93275000010488,0.0,0.0,0.3178710999999996,-6.0395508,-0.5454103,-0.6408692,0.0,0.0,0.0,0.0,0.0,0.3178710999999996,0.12168069630861282,-0.05019325949251652
-1.148025,165.141301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-1.4210854715202004e-10,0.0,0.0,0.3286132999999996,-5.8955078,-0.5551756999999999,-0.634204,0.0,0.0,0.0,0.0,0.0,0.3286132999999996,0.11654680967330933,-0.07399273067712783
-1.148025,165.333301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,0.3266599999999996,-5.8466799,-0.6259764999999999,-0.6413819000000001,0.0,0.0,0.0,0.0,0.0,0.3266599999999996,0.11654680967330933,-0.07399273067712783
-1.148025,165.52530099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,0.3237304999999996,-5.9238281,-0.6279297,-0.639331,0.0,0.0,0.0,0.0,0.0,0.3237304999999996,0.11654680967330933,-0.07399273067712783
-1.148025,165.717301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,0.3276364999999995,-5.8544923,-0.612793,-0.6398437,0.0,0.0,0.0,0.0,0.0,0.3276364999999995,0.11654680967330933,-0.07399273067712783
-1.148025,165.909301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3256835999999996,-5.8334962,-0.5996094000000001,-0.6357421999999999,0.0,0.0,0.0,0.0,0.0,0.3256835999999996,0.11654680967330933,-0.07399273067712783
-1.148025,166.10130099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,0.3251951999999996,-5.8256835,-0.5859379,-0.6372801000000001,0.0,0.0,0.0,0.0,0.0,0.3251951999999996,0.11654680967330933,-0.07399273067712783
-1.148025,166.293301,386.54599,19200.0,0.0,9.600000000001785,0.0,0.0,1.4210854715202004e-10,0.0,0.0,0.3247068999999996,-5.9057617,-0.5698241,-0.6413819000000001,0.0,0.0,0.0,0.0,0.0,0.3247068999999996,0.11654680967330933,-0.07399273067712783
-1.148025,166.485301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-1.4210854715202004e-10,0.0,0.0,0.3247069999999996,-5.8227539,-0.5517579,-0.6306152,0.0,0.0,0.0,0.0,0.0,0.3247069999999996,0.11654680967330933,-0.07399273067712783
-1.148025,166.677301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,0.3251951999999996,-5.854004000000001,-0.5361326999999999,-0.6362547,0.0,0.0,0.0,0.0,0.0,0.3251951999999996,0.11654680967330933,-0.07399273067712783
-1.148025,166.869301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3232423999999995,-5.8476564,-0.5219727,-0.6326660000000001,0.0,0.0,0.0,0.0,0.0,0.3232423999999995,0.11654680967330933,-0.07399273067712783
-1.148025,167.061301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3232422999999996,-5.8642577000000005,-0.5078123000000001,-0.6331787,0.0,0.0,0.0,0.0,0.0,0.3232422999999996,0.11654680967330933,-0.07399273067712783
-1.148025,167.253301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,0.3232422999999996,-5.8354493,-0.4975587,-0.6316406,0.0,0.0,0.0,0.0,0.0,0.3232422999999996,0.11654680967330933,-0.07399273067712783
-1.148025,167.44530100000003,386.54599,19200.0,0.0,9.600000000001785,0.0,0.0,1.4210854715202004e-10,0.0,0.0,0.3232423999999996,-5.883789,-0.4873045,-0.6357419999999999,0.0,0.0,0.0,0.0,0.0,0.3232423999999996,0.11654680967330933,-0.07399273067712783
-1.148025,167.63730099999998,386.54599,19200.0,0.0,9.599999999997522,0.0,0.0,-2.1316282072803008e-10,0.0,0.0,0.3237305999999996,-5.8706057000000005,-0.4804686999999999,-0.6306152,0.0,0.0,0.0,0.0,0.0,0.3237305999999996,0.11654680967330933,-0.07399273067712783
-1.148025,167.829301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,1.4210854715202004e-10,0.0,0.0,0.3242187999999996,-5.8867187,-0.4750979,-0.6372803,0.0,0.0,0.0,0.0,0.0,0.3242187999999996,0.11654680967330933,-0.07399273067712783
-1.148025,168.021301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3217775999999996,-5.8510742,-0.4697266,-0.635742,0.0,0.0,0.0,0.0,0.0,0.3217775999999996,0.11654680967330933,-0.07399273067712783
-1.148025,168.213301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3232422999999996,-5.8613282,-0.4643552999999999,-0.6398438,0.0,0.0,0.0,0.0,0.0,0.3232422999999996,0.11654680967330933,-0.07399273067712783
-1.148025,168.405301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3227541999999996,-5.9340821,-0.4599606,-0.6367675,0.0,0.0,0.0,0.0,0.0,0.3227541999999996,0.11654680967330933,-0.07399273067712783
-1.148025,168.597301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,0.3242187999999996,-5.8769532,-0.458984,-0.6388183,0.0,0.0,0.0,0.0,0.0,0.3242187999999996,0.11654680967330933,-0.07399273067712783
-1.148025,168.789301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,0.3076173999999996,-5.869629,-0.4526367999999999,-0.6598388,0.0,0.0,0.0,0.0,0.0,0.3076173999999996,0.11654680967330933,-0.07399273067712783
-1.148025,168.981301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.1870115999999995,-6.0039062,-0.4169921,-0.8459472,0.0,0.0,0.0,0.0,0.0,0.1870115999999995,0.11654680967330933,-0.07399273067712783
-1.148025,169.17330099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,0.0258787999999995,-6.0698242,-0.3632813,-1.1443359000000002,0.0,0.0,0.0,0.0,0.0,0.0258787999999995,0.11654680967330933,-0.07399273067712783
-1.148025,169.365301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.1049803000000004,-6.0297852,-0.3178711,-1.3935058,0.0,0.0,0.0,0.0,0.0,-0.1049803000000004,0.11654680967330933,-0.07399273067712783
-1.148025,169.557301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.2021485000000004,-6.0659179000000005,-0.2822267,-1.6098632,0.0,0.0,0.0,0.0,0.0,-0.2021485000000004,0.11654680967330933,-0.07399273067712783
-1.148025,169.749301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.2700196000000004,-6.0922852,-0.2553710999999999,-1.7713622999999998,0.0,0.0,0.0,0.0,0.0,-0.2700196000000004,0.11654680967330933,-0.07399273067712783
-1.148025,169.941301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.3168946000000004,-6.1708984,-0.2353517,-1.9051758,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,2.1600000000325963,-0.3168946000000004,-0.10547083467245102,-0.08818129561841488
-1.148025,170.133301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.3652343000000004,-6.1176759,-0.2197265,-2.0205323,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,6.239999999990687,-0.3652343000000004,-0.10553623288869858,-0.08870888464152812
-1.148025,170.32530100000002,386.54599,19200.0,0.0,9.600000000001785,0.0,0.0,1.4210854715202004e-10,0.0,0.0,-0.3945313000000004,-6.1293945,-0.2041014,-2.1266601,506.1281032092017,597.0487382360302,167.4264757778404,782.7086639915135,11.28000000002794,-0.3945313000000004,-0.10561700910329819,-0.08935937993228435
-1.148025,170.517301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-1.4210854715202004e-10,0.0,0.0,-0.4257812000000004,-6.1416014,-0.1938477,-2.2097167,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,16.800000000046566,-0.4257812000000004,-0.1057055026292801,-0.09008631631731986
-1.148025,170.709301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.4501954000000004,-6.2207033,-0.1816407,-2.3020018,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,23.76000000000932,-0.4501954000000004,-0.10581707954406738,-0.09111554995179176
-1.148025,170.901301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.4697265000000004,-6.1508789,-0.1669921999999999,-2.3799316,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,30.960000000020955,-0.4697265000000004,-0.1059324711561203,-0.0921265110373497
-1.148025,171.093301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.4887695000000004,-6.1640625,-0.1591797,-2.4593994,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,38.1600000000326,-0.4887695000000004,-0.10599485337734223,-0.09302205666899681
-1.148025,171.285301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5024415000000004,-6.2070313,-0.1562501,-2.5224609,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,46.55999999999767,-0.5024415000000004,-0.10593921840190887,-0.09395964294672013
-1.148025,171.47730099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.5151367000000004,-6.180664,-0.1503905999999999,-2.5824463,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,54.96000000002096,-0.5151367000000004,-0.10585170984268188,-0.09482492804527283
-1.148025,171.669301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.5268554000000003,-6.1489258,-0.144043,-2.635254,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,63.600000000034925,-0.5268554000000003,-0.10546347945928573,-0.09573250785470008
-1.148025,171.861301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5375977000000004,-6.2250976,-0.1391601,-2.6901123,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,73.20000000001164,-0.5375977000000004,-0.10508890151977539,-0.09653972685337067
-1.148025,172.053301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5478516000000004,-6.2490235,-0.1367189,-2.7398437,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,83.28000000002794,-0.5478516000000004,-0.1047101929783821,-0.09720873311161995
-1.148025,172.24530099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.5532226000000005,-6.1821289,-0.1293946,-2.7782958,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,93.36000000004424,-0.5532226000000005,-0.10432135909795762,-0.0976944960653782
-1.148025,172.437301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.5659181000000004,-6.2050782,-0.1289062999999999,-2.8321289,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,103.44000000000231,-0.5659181000000004,-0.10392087697982788,-0.09811509549617767
-1.148025,172.629301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5732423000000004,-6.2290039,-0.1259765,-2.8721191,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,114.0,-0.5732423000000004,-0.1035012885928154,-0.09852803125977516
-1.148025,172.821301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5800780000000004,-6.2788086,-0.1235351,-2.9126221,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,125.04000000003724,-0.5800780000000004,-0.10306263267993927,-0.09902187436819077
-1.148025,173.013301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5903321000000005,-6.1967774,-0.1210939,-2.954663,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,136.0800000000163,-0.5903321000000005,-0.10262406170368195,-0.09945814982056618
-1.148025,173.20530100000002,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5913087000000005,-6.2075195,-0.1176759,-2.9941405,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,147.8400000000256,-0.5913087000000005,-0.10215680003166198,-0.09997504428029061
-1.148025,173.39730100000003,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.5942385000000004,-6.2446289,-0.114258,-3.0151611000000003,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,159.11999999999534,-0.5942385000000004,-0.10183064192533493,-0.10034107565879821
-1.148025,173.589301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.5991212000000004,-6.2963867,-0.1132814,-3.0577148,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,170.1600000000326,-0.5991212000000004,-0.10151323825120925,-0.10074775293469429
-1.148025,173.78130099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,0.0,0.0,0.0,-0.6054687000000005,-6.1987305,-0.1113283,-3.0869385,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,181.67999999999304,-0.6054687000000005,-0.10043661743402481,-0.10118883624672889
-1.148025,173.973301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.6118164000000004,-6.2641603,-0.1123047999999999,-3.1182129,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,193.9200000000419,-0.6118164000000004,-0.09894504994153977,-0.10181969031691551
-1.148025,174.165301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6166993000000003,-6.2983397000000005,-0.1127931,-3.1397462000000003,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,205.67999999999304,-0.6166993000000003,-0.09751197099685668,-0.10249578580260277
-1.148025,174.357301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6206056000000004,-6.2919923,-0.1142579,-3.1484621,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,217.9200000000419,-0.6206056000000004,-0.09602040797472,-0.1030806727707386
-1.148025,174.549301,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.6245116000000004,-6.2475587,-0.1166995,-3.1520509,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,229.20000000001164,-0.6245116000000004,-0.09464582055807114,-0.10379045978188514
-1.148025,174.741301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.6230469000000005,-6.290038900000001,-0.1171877,-3.1602541,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,240.72000000003027,-0.6230469000000005,-0.09305192828178406,-0.10456219241023064
-1.148025,174.933301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6240235000000004,-6.3100586,-0.1166993999999999,-3.1638429,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,252.4800000000396,-0.6240235000000004,-0.09159852266311645,-0.10540463551878929
-1.148025,175.12530099999998,386.54599,19200.0,0.0,9.599999999998944,0.0,0.0,-7.105427357601002e-11,0.0,0.0,-0.6269530000000004,-6.2841797,-0.1201174,-3.1551271,506.12810320915696,597.0487382358995,167.42647577781523,782.7086639913849,264.0,-0.6269530000000004,-0.0901748150587082,-0.10606545656919479
-1.148025,175.317301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,7.105427357601002e-11,0.0,0.0,-0.6264649000000004,-6.2563477,-0.1210939,-3.1658937000000003,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,275.5200000000186,-0.6264649000000004,-0.088352270424366,-0.10657669976353645
-1.148025,175.509301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6254883000000004,-6.2529297,-0.1230472,-3.1592286,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,287.28000000002794,-0.6254883000000004,-0.08629645705223084,-0.10676614120602608
-1.148025,175.701301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6284180000000005,-6.3095702000000005,-0.1245116,-3.157178,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,298.320000000007,-0.6284180000000005,-0.08401912599802017,-0.10665564760565757
-1.148025,175.893301,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6289062000000004,-6.2529296,-0.1274413999999999,-3.1592287000000003,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,309.6000000000349,-0.6289062000000004,-0.08141255006194115,-0.1063840039074421
-1.148025,176.08530100000002,386.54599,19200.0,0.0,9.600000000000364,0.0,0.0,0.0,0.0,0.0,-0.6274415000000004,-6.2563476,-0.1274413,-3.165381,506.1281032091794,597.0487382359648,167.42647577782782,782.7086639914493,321.6000000000349,-0.6274415000000004,-0.07799242436885834,-0.10570837929844856
